Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-10T08:15:49.642Z","Included","auto","No","0","25432","66816","1480","93728","0.06"
"2025-12-10T08:12:38.203Z","Included","auto","No","0","4739","30848","208","35795","0.01"
"2025-12-10T08:07:33.913Z","Included","auto","No","0","44696","457344","13238","515278","0.25"
"2025-12-10T08:05:17.924Z","Included","auto","No","0","15733","127872","2703","146308","0.07"
"2025-12-03T09:20:07.309Z","Included","auto","No","0","19788","216960","2459","239207","0.09"
"2025-12-03T09:13:11.140Z","Included","auto","No","0","21460","209024","7812","238296","0.13"
"2025-11-26T12:22:11.575Z","Included","auto","No","0","85411","1306496","6861","1398768","0.47"
"2025-11-26T09:21:38.269Z","Included","claude-4.5-sonnet-thinking","No","114462","9648","1161716","12602","1298428","1.00"
"2025-11-26T08:57:31.572Z","Included","claude-4.5-sonnet-thinking","No","90946","162","716790","34573","842471","1.08"
"2025-11-26T08:28:31.269Z","Included","claude-4.5-sonnet-thinking","No","25495","563","510993","8445","545496","0.38"
"2025-11-26T08:20:56.970Z","Included","claude-4.5-sonnet-thinking","No","36943","95","310491","9570","357099","0.38"
"2025-11-26T08:14:10.759Z","Included","claude-4.5-sonnet-thinking","No","29739","241","375059","6262","411301","0.32"
